epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,20784.6,1.57388,0.85104,0.89362,0.796,0.63601,0.72314,0.383,1.69151,0.98098,0.91133,0.004522,0.004522,0.004522
168,20925,1.58112,0.85945,0.89569,0.79597,0.63712,0.72376,0.3834,1.69086,0.98153,0.91108,0.004489,0.004489,0.004489
169,21085.9,1.58403,0.85695,0.89582,0.79679,0.63685,0.72341,0.38309,1.69101,0.98061,0.91123,0.004456,0.004456,0.004456
170,21183,1.581,0.85285,0.89426,0.79759,0.63685,0.72401,0.38334,1.69086,0.9804,0.91122,0.004423,0.004423,0.004423
171,21308.5,1.59562,0.85295,0.89328,0.79617,0.63802,0.72378,0.38345,1.68941,0.97901,0.91106,0.00439,0.00439,0.00439
172,21439,1.57048,0.8486,0.8894,0.79686,0.638,0.72449,0.38404,1.69001,0.97825,0.91109,0.004357,0.004357,0.004357
173,21569.8,1.58406,0.85367,0.8892,0.79607,0.63836,0.72517,0.38382,1.69033,0.97742,0.91114,0.004324,0.004324,0.004324
174,21701.3,1.56365,0.84442,0.892,0.79615,0.63802,0.72513,0.38454,1.69089,0.97761,0.91097,0.004291,0.004291,0.004291
175,21828.9,1.57998,0.85058,0.89524,0.79977,0.63685,0.72484,0.38438,1.69085,0.97702,0.91115,0.004258,0.004258,0.004258
176,21962.3,1.56949,0.84724,0.8883,0.80032,0.63578,0.72499,0.38426,1.69051,0.97751,0.91122,0.004225,0.004225,0.004225
177,22095.9,1.56698,0.83985,0.89198,0.79976,0.63702,0.72482,0.38428,1.69045,0.97648,0.91118,0.004192,0.004192,0.004192
178,22198.7,1.58343,0.85265,0.89166,0.79987,0.63819,0.7254,0.38435,1.69107,0.97665,0.91119,0.004159,0.004159,0.004159
179,22294,1.55837,0.83531,0.88883,0.80084,0.63582,0.72505,0.38448,1.69123,0.97665,0.91112,0.004126,0.004126,0.004126
180,22741.9,1.57203,0.83785,0.88997,0.8015,0.63484,0.72467,0.38444,1.6906,0.97681,0.91096,0.004093,0.004093,0.004093
181,22870.1,1.58665,0.84724,0.88926,0.79764,0.63936,0.72486,0.38489,1.69058,0.97673,0.91105,0.00406,0.00406,0.00406
